A̱o,Grupo,Total
1985,Hombres,15192004
1985,Mujeres,15610217
1986,Hombres,15507695
1986,Mujeres,15932302
1987,Hombres,15832670
1987,Mujeres,16264303
1988,Hombres,16163976
1988,Mujeres,16603134
1989,Hombres,16500372
1989,Mujeres,16946540
1990,Hombres,16838326
1990,Mujeres,17291696
1991,Hombres,17183454
1991,Mujeres,17647116
1992,Hombres,17524117
1992,Mujeres,17996823
1993,Hombres,17862788
1993,Mujeres,18344320
1994,Hombres,18182235
1994,Mujeres,18671670
1995,Hombres,18488018
1995,Mujeres,18984166
1996,Hombres,18783203
1996,Mujeres,19284847
1997,Hombres,19063910
1997,Mujeres,19571781
1998,Hombres,19335555
1998,Mujeres,19848901
1999,Hombres,19605580
1999,Mujeres,20125218
2000,Hombres,19883774
2000,Mujeres,20411789
2001,Hombres,20139879
2001,Mujeres,20673662
2002,Hombres,20395339
2002,Mujeres,20933485
2003,Hombres,20653560
2003,Mujeres,21195399
2004,Hombres,20913566
2004,Mujeres,21454923
2005,Hombres,21169835
2005,Mujeres,21718757
2006,Hombres,21426954
2006,Mujeres,21979002
2007,Hombres,21683071
2007,Mujeres,22243858
2008,Hombres,21942355
2008,Mujeres,22508792
2009,Hombres,22203708
2009,Mujeres,22775124
2010,Hombres,22466660
2010,Mujeres,23042924
2011,Hombres,22731299
2011,Mujeres,23313302
2012,Hombres,22997087
2012,Mujeres,23584736
2013,Hombres,23264039
2013,Mujeres,23857050
2014,Hombres,23531670
2014,Mujeres,24130117
2015,Hombres,23799679
2015,Mujeres,24403726
2016,Hombres,24069035
2016,Mujeres,24678673
2017,Hombres,24337747
2017,Mujeres,24953862
2018,Hombres,24605796
2018,Mujeres,25228444
2019,Hombres,24873329
2019,Mujeres,25501149
2020,Hombres,25138964
2020,Mujeres,25772783
